,pmid,doi,journal,country,title,authors,abstract,citation_count,published_at
132647,34242187,10.3855/jidc.14830,Journal of infection in developing countries,Italy,Brief psychotic disorder in COVID-19 patient with no history of mental illness.,"Hana Khairina Putri Faisal, Feni Fitriani Taufik, Tribowo Tuahta Ginting Sugihen,  Prasenohadi, Tomu Juliani, Faisal Yunus","<Abstract><AbstractText Label=""INTRODUCTION"">COVID-19 pandemic affects mental health globally. Reports showed the increase of mental illness as a response to the COVID-19 pandemic. However, the correlation between the COVID-19 and mental illness is not fully understood yet.</AbstractText><AbstractText Label=""METHODOLOGY"">We reported a brief psychotic disorder in a COVID-19 patient with no history of mental illness who was hospitalized in Persahabatan Hospital, Jakarta, Indonesia.</AbstractText><AbstractText Label=""RESULTS"">Psychotic symptoms appeared five days after COVID-19 onset and laboratory tests showed elevated levels of d-dimer and fibrinogen.</AbstractText><AbstractText Label=""CONCLUSIONS"">Elevated levels of d-dimer and fibrinogen suggest an ongoing COVID-19-associated coagulopathy that might cause a microdamage in the central nervous system. It might contribute to the manifestation of psychotic symptoms. The correlation between brief psychotic disorder and COVID-19 requires further investigation.</AbstractText><CopyrightInformation>Copyright (c) 2021 Hana Khairina Putri Faisal, Feni Fitriani Taufik, Tribowo Tuahta Ginting Sugihen, Prasenohadi, Tomu Juliani, Faisal Yunus.</CopyrightInformation></Abstract>",0,2021-07-20 00:00:00
17042,33706738,10.1186/s12889-021-10427-2,BMC public health,England,UK prevalence of underlying conditions which increase the risk of severe COVID-19 disease: a point prevalence study using electronic health records.,"Jemma L Walker, Daniel J Grint, Helen Strongman, Rosalind M Eggo, Maria Peppa, Caroline Minassian, Kathryn E Mansfield, Christopher T Rentsch, Ian J Douglas, Rohini Mathur, Angel Y S Wong, Jennifer K Quint, Nick Andrews, Jamie Lopez Bernal, J Anthony Scott, Mary Ramsay, Liam Smeeth, Helen I McDonald","<Abstract>
                <AbstractText Label=""BACKGROUND"">Characterising the size and distribution of the population at risk of severe COVID-19 is vital for effective policy and planning. Older age, and underlying health conditions, are associated with higher risk of death from COVID-19. This study aimed to describe the population at risk of severe COVID-19 due to underlying health conditions across the United Kingdom.</AbstractText>
                <AbstractText Label=""METHODS"">We used anonymised electronic health records from the Clinical Practice Research Datalink GOLD to estimate the point prevalence on 5 March 2019 of the at-risk population following national guidance. Prevalence for any risk condition and for each individual condition is given overall and stratified by age and region with binomial exact confidence intervals. We repeated the analysis on 5 March 2014 for full regional representation and to describe prevalence of underlying health conditions in pregnancy. We additionally described the population of cancer survivors, and assessed the value of linked secondary care records for ascertaining COVID-19 at-risk status.</AbstractText>
                <AbstractText Label=""RESULTS"">On 5 March 2019, 24.4% of the UK population were at risk due to a record of at least one underlying health condition, including 8.3% of school-aged children, 19.6% of working-aged adults, and 66.2% of individuals aged 70 years or more. 7.1% of the population had multimorbidity. The size of the at-risk population was stable over time comparing 2014 to 2019, despite increases in chronic liver disease and diabetes and decreases in chronic kidney disease and current asthma. Separately, 1.6% of the population had a new diagnosis of cancer in the past 5 y.</AbstractText>
                <AbstractText Label=""CONCLUSIONS"">The population at risk of severe COVID-19 (defined as either aged ≥70 years, or younger with an underlying health condition) comprises 18.5 million individuals in the UK, including a considerable proportion of school-aged and working-aged individuals. Our national estimates broadly support the use of Global Burden of Disease modelled estimates in other countries. We provide age- and region- stratified prevalence for each condition to support effective modelling of public health interventions and planning of vaccine resource allocation. The high prevalence of health conditions among older age groups suggests that age-targeted vaccination strategies may efficiently target individuals at higher risk of severe COVID-19.</AbstractText>
            </Abstract>",4,2021-04-05 00:00:00
154463,34535416,10.1016/j.acvd.2021.09.001,Archives of cardiovascular diseases,Netherlands,COVID-19 vaccine post-marketing surveillance: Cardiovascular doctors have a role to play!,"Dorine Fournier, Amandine Bouchet, Bénédicte Lebrun-Vignes","<?xml version=""1.0""?>
<p/>
",0,2021-09-20 00:00:00
129984,34267924,10.1017/gmh.2021.22,"Global mental health (Cambridge, England)",England,"Conflict (Rohingya, COVID-19, and coup) in Myanmar: unmet need of mental health.","Sheikh Shoib, S M Yasir Arafat, Myat Thuzar","<?xml version=""1.0""?>
<p/>
",0,2021-07-17 00:00:00
84211,32851474,10.1007/s00414-020-02406-w,International journal of legal medicine,Germany,Postmortem examination of three SARS-CoV-2-positive autopsies including histopathologic and immunohistochemical analysis.,"George-Călin Oprinca, Lilioara-Alexandra Muja","<Abstract>
                <AbstractText>This paper describes three autopsy cases with postmortem diagnosis of SARS-CoV-2 infection, with detailed macroscopic examination as well as advanced microscopic studies of organ tissues collected using hematoxylin-eosin stains and immunohistochemical markers. Two of the cases were admitted briefly in the County Clinical Emergency Hospital of Sibiu, and one was found deceased at his home address. All three autopsies were completed at the County morgue, in the COVID-19 restricted area, using complete protective equipment. The lungs of the patients seemed to be the center organ of invasion and pathogenesis of the novel coronavirus with diffuse areas of condensation, subpleural retraction zones but with different aspect of the classic bacterial bronchopneumonia. Microscopic evaluation revealed viral cytopathic effect of type II pneumocytes with a couple of cells that presented cytoplasmic and nuclear inclusions and who tend to form clusters mimicking multinucleated giant cells. Hyaline membranes and destruction of the alveolar wall as well as microthrombi formation within the small blood vessels were constantly found in almost all our three cases. The spleen had sustained white pulp atrophy with absence of lymphoid follicles. There were no microscopic signs of viral infection on the myocardium or the other organs.</AbstractText>
            </Abstract>",12,2021-01-20 00:00:00
137958,34109553,10.1007/s12306-021-00718-7,Musculoskeletal surgery,Italy,Initial assessment of framework for delivery of elective orthopaedic surgery in the United Kingdom following the COVID-19 pandemic.,"S Sharkey, K Narang, R J Pacheco, C Anthony","<Abstract><AbstractText Label=""PURPOSE"" NlmCategory=""OBJECTIVE"">In light of the COVID-19 pandemic, a framework for safe provision of elective orthopaedic surgery must be developed in order to restore and maintain activity. The aim of this study was to explore patient attitudes to surgery and theatre efficiency as a result of the COVID-19 pandemic and assess a potential framework for the delivery of such services.</AbstractText><AbstractText Label=""METHODS"" NlmCategory=""METHODS"">Prospectively collected data on theatre timings and procedures completed per session used to assess theatre efficiency comparing June 2019 to June 2020. Information on patient compliance with 14-day household isolation and attitudes to surgery were collected prospectively over a seven-week period using a questionnaire. Follow-up data were collected via telephone consultation a minimum of two weeks after discharge.</AbstractText><AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">Significant reduction in the number of points per session (p = 0.02) with a mean of 3.19 in 2019 and 2.42 in 2020. Only 18 of 31 patients were compliant with pre-operative isolation with individual failures accounting for four of 13 and failures by household members accounting for nine. Impact of COVID-19 and precautions on patient anxiety was mixed. No patients required symptomatic COVID-19 swab post-operatively.</AbstractText><AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">With the restrictions of COVID-19, there are significant problems with theatre efficiency, in effect losing an operation a list. Furthermore, compliance with pre-operative isolation was poor but to the best of our knowledge no patients became unwell from COVID-19 post-operatively. Additional strategies will be required to reinstate an effective elective orthopaedic service, especially as the nation heads into another wave.</AbstractText></Abstract>",0,2021-06-12 00:00:00
63763,32427166,10.1016/j.gloepi.2020.100026,Global epidemiology,United States,Natural experiment concept to accelerate the Re-purposing of existing therapeutics for Covid-19.,Christian G Daughton,"<Abstract>
                <AbstractText>One of the many questions with respect to controlling the novel coronavirus pandemic is whether existing drugs can be re-purposed (re-positioned) for the prevention or treatment of Covid-19 - or for any future epidemic. The usefulness of existing approaches for re-purposing range from computational modeling to clinical trials. These are often time-consuming, resource intensive, and prone to failure. Proposed here is a new but simple concept that would capitalize on the opportunity presented by the on-going natural experiment involving the collection of data from epidemiological surveillance screening and diagnostic testing for clinical treatment. The objective would be to also collect for each Covid-19 case the patient's prior usage of existing therapeutic drugs. These drug usage data would be collected for several major test groups - those who test positive for active SARS-CoV-2 infection (using molecular methods) and those who test negative for current infection but also test positive for past infection (using serologic antibody tests). Patients from each of these groups would also be categorized with respect to where they resided on the spectrum of morbidities (from no or mild symptomology to severe). By comparing the distribution of normalized usage data for each drug within each group, drugs that are more associated with particular test groups could be revealed as having potential prophylactic, therapeutic, or contraindicated effects with respect to disease progression. These drugs could then be selected as candidates for further evaluation in fighting Covid-19. Also summarized are some of the numerous attributes, advantages, and limitations of the proposed concept, all pointing to the need for further discussion and evaluation.</AbstractText>
                <CopyrightInformation>© 2020 The Author.</CopyrightInformation>
            </Abstract>",3,2021-01-11 00:00:00
43097,33372174,10.1038/s41392-020-00438-7,Signal transduction and targeted therapy,England,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) membrane (M) protein inhibits type I and III interferon production by targeting RIG-I/MDA-5 signaling.,"Yi Zheng, Meng-Wei Zhuang, Lulu Han, Jing Zhang, Mei-Ling Nan, Peng Zhan, Dongwei Kang, Xinyong Liu, Chengjiang Gao, Pei-Hui Wang","<Abstract>
                <AbstractText>Coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has quickly spread worldwide and has affected more than 10 million individuals. A typical feature of COVID-19 is the suppression of type I and III interferon (IFN)-mediated antiviral immunity. However, the molecular mechanism by which SARS-CoV-2 evades antiviral immunity remains elusive. Here, we reported that the SARS-CoV-2 membrane (M) protein inhibits the production of type I and III IFNs induced by the cytosolic dsRNA-sensing pathway mediated by RIG-I/MDA-5-MAVS signaling. In addition, the SARS-CoV-2 M protein suppresses type I and III IFN induction stimulated by SeV infection or poly (I:C) transfection. Mechanistically, the SARS-CoV-2 M protein interacts with RIG-I, MAVS, and TBK1, thus preventing the formation of the multiprotein complex containing RIG-I, MAVS, TRAF3, and TBK1 and subsequently impeding the phosphorylation, nuclear translocation, and activation of IRF3. Consequently, ectopic expression of the SARS-CoV-2 M protein facilitates the replication of vesicular stomatitis virus. Taken together, these results indicate that the SARS-CoV-2 M protein antagonizes type I and III IFN production by targeting RIG-I/MDA-5 signaling, which subsequently attenuates antiviral immunity and enhances viral replication. This study provides insight into the interpretation of SARS-CoV-2-induced antiviral immune suppression and illuminates the pathogenic mechanism of COVID-19.</AbstractText>
            </Abstract>",44,2021-01-12 00:00:00
6501,33825184,10.1002/jdd.12609,Journal of dental education,United States,Adaptive e-learning platforms can improve student performance and engagement in dental education.,"Muhammed Yakin, Kelly Linden","<Abstract>
                <AbstractText Label=""PURPOSE"" NlmCategory=""OBJECTIVE"">Knowledge of normal tissue architecture is essential for one of the vitally important graduate competencies in dentistry, which is the recognition and appropriate referral of patients with oral mucosal and jawbone abnormalities for timely management and improved outcomes. The aim of this study was to examine the effect of online adaptive lessons on improving perceived and measured student performance, motivation, and student perceptions in dental education.</AbstractText>
                <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">This mixed-method study was conducted on year 1 and year 3 undergraduate dental students. Adaptive lessons supplementing a number of histology topics were designed and made available. Adaptive lesson scores and analytics, exam scores on topics that were supplemented by adaptive lessons (Experimental Questions), and those that were not (Control Questions) were compared among the year 1 students (n = 43). A validated questionnaire including Likert-type scales about the student attitudes and perceptions toward adaptive lessons followed by open-ended questions was administered to year 1 and 3 students (n = 57).</AbstractText>
                <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">Students obtained significantly higher scores in experimental exam questions than control exam questions (p = 0.01). A significantly larger number of students perceived that the adaptive lessons improved their knowledge of the subject (p &lt; 0.001).</AbstractText>
                <AbstractText Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"">The adaptive lessons employed in this study showed significant potential to improve student engagement, motivation, perceived knowledge, and measured exam performance. These are particularly important findings especially amid the COVID-19 pandemic as institutions transitioned to online education in lieu of face-to-face classes to comply with recommendations from Health Authorities.</AbstractText>
                <CopyrightInformation>© 2021 American Dental Education Association.</CopyrightInformation>
            </Abstract>",1,2021-04-07 00:00:00
28490,33174599,10.1093/ajcp/aqaa230,American journal of clinical pathology,England,A Descriptive and Quantitative Immunohistochemical Study Demonstrating a Spectrum of Platelet Recruitment Patterns Across Pulmonary Infections Including COVID-19.,"Phillip D McMullen, Joseph H Cho, Jonathan L Miller, Aliya N Husain, Peter Pytel, Thomas Krausz","<Abstract>
                <AbstractText Label=""OBJECTIVES"">Pulmonary platelet deposition and microangiopathy are increasingly recognized components of coronavirus disease 2019 (COVID-19) infection. Thrombosis is a known component of sepsis and disseminated intravascular coagulation. We sought to compare the level of platelet deposition in the pulmonary vasculature in cases of confirmed COVID-19 infection to other lung injuries and infections.</AbstractText>
                <AbstractText Label=""METHODS"">Immunohistochemistry was performed on 27 autopsy cases and 2 surgical pathology cases targeting CD61. Multiple cases of normal lung, diffuse alveolar damage, COVID-19, influenza, and bacterial and fungal infections, as well as one case of pulmonary emboli, were included. The levels of CD61 staining were compared quantitatively in the autopsy cases, and patterns of staining were described.</AbstractText>
                <AbstractText Label=""RESULTS"">Nearly all specimens exhibited an increase in CD61 staining relative to control lung tissue. The area of CD61 staining in COVID-19 infection was higher than influenza but still comparable to many other infectious diseases. Cases of aspiration pneumonia, Staphylococcus aureus infection, and blastomycosis exhibited the highest levels of CD61 staining.</AbstractText>
                <AbstractText Label=""CONCLUSIONS"">Platelet deposition is a phenomenon common to many pulmonary insults. A spectrum of staining patterns was observed, suggestive of pathogen-specific mechanisms of platelet deposition. Further study into the mechanisms driving platelet deposition in pulmonary injuries and infections is warranted.</AbstractText>
                <CopyrightInformation>© American Society for Clinical Pathology, 2020. All rights reserved. For permissions, please e-mail: journals.permissions@oup.com.</CopyrightInformation>
            </Abstract>",3,2021-02-18 00:00:00
89967,32536559,10.1016/j.clon.2020.06.002,Clinical oncology (Royal College of Radiologists (Great Britain)),England,Personal View: Low-dose Lung Radiotherapy for COVID-19 Pneumonia - The Atypical Science and the Unknown Collateral Consequence.,"H Tharmalingam, P Díez, Y Tsang, A Hawksley, J Conibear, N Thiruthaneeswaran","<?xml version=""1.0""?>
<p/>
",5,2021-01-10 00:00:00
147578,34029831,10.1016/j.cmpb.2021.106139,Computer methods and programs in biomedicine,Ireland,Convolutional neural network analysis of recurrence plots for high resolution melting classification.,"Fatma Ozge Ozkok, Mete Celik","<Abstract><AbstractText Label=""BACKGROUND AND OBJECTIVE"" NlmCategory=""OBJECTIVE"">High resolution melting (HRM) analysis is a rapid and correct method for identification of species, such as, microorganism, bacteria, yeast, virus, etc. HRM data are produced using real-time polymerase chain reaction (PCR) and unique for each species. Analysis of the HRM data is important for several applications, such as, for detection of diseases (e.g., influenza, zika virus, SARS-Cov-2 and Covid-19 diseases) in health, for identification of spoiled foods in food industry, for analysis of crime scene evidence in forensic investigation, etc. However, the characteristics of the HRM data can change due to the experimental conditions or instrumental settings. In addition, it becomes laborious and time-consuming process as the number of samples increases. Because of these reasons, the analysis and classification of the HRM data become challenging for species which have similar characteristics.</AbstractText><AbstractText Label=""METHODS"" NlmCategory=""METHODS"">To improve the classification accuracy of HRM data, we propose to use image (visual) representation of HRM data, which we call HRM images, that are generated using recurrence plots, and propose convolutional neural network (CNN) based models for classifying HRM images. In this study, two different types of recurrence plots are generated, which are black-white recurrence plots (BW-RP) and gray scale recurrence plots (GS-RP) and four different CNN models are proposed for classifying HRM data.</AbstractText><AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">The classification performance of the proposed methods are evaluated based on average classification accuracy and F1 score, specificity, recall, and precision values for each yeast species. When BW-RP representation of HRM data is used as input to the CNN models, the best classification accuracy of 95.2% is obtained. The classification accuracies of CNN models for melting curve and GS-RP data representations of HRM data are 90.13% and 86.13%, respectively. The classification accuracy of support vector machines (SVM) model that take melting curve representation of HRM data is 86.53%. Moreover, when BW-RP representation of HRM data is used as input to the CNN models, the F1 score, specificity, recall and precision values are the highest for almost all of species.</AbstractText><AbstractText Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"">Experimental results show that using BW-RP representation of HRM data improved the classification accuracy of HRM data and CNN models that take these images as input outperformed CNN models that take melting curve and GS-RP representations of HRM data as inputs and SVM model that take melting curve representation of HRM data as input.</AbstractText><CopyrightInformation>Copyright © 2021 Elsevier B.V. All rights reserved.</CopyrightInformation></Abstract>",0,2021-08-02 00:00:00
165231,34091858,10.1007/s11904-021-00564-z,Current HIV/AIDS reports,United States,The Intersection of HIV and Syphilis: Update on the Key Considerations in Testing and Management.,"Melody Ren, Thomas Dashwood, Sharon Walmsley","<Abstract><AbstractText Label=""PURPOSE OF REVIEW"">To highlight recent trends in the epidemiology of HIV and syphilis, the impact of the COVID epidemic, our approach to care of co-infected patients, and our views on important next steps in advancing the field.</AbstractText><AbstractText Label=""RECENT FINDINGS"">HIV and syphilis co-infection has been on the rise in recent years although since the COVID pandemic there is a decrease in new diagnoses-it remains unclear if this represents a true decline or inadequate testing or under-reporting. Standard HIV care should include regular syphilis serology .Treatment and serological follow-up of syphilis in HIV positive and negative patients can be conducted similarly. Challenges remain in the diagnosis and management of neurosyphilis. New models for testing and prevention will be crucial next steps in controlling co-infection. The intersection of HIV and syphilis infections continues to pose new and unique challenges in diagnosis, treatment, and prevention.</AbstractText><CopyrightInformation>© 2021. The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.</CopyrightInformation></Abstract>",0,2021-08-26 00:00:00
30475,33529138,10.1148/radiol.2021204155,Radiology,United States,High-Performance 0.55-T Lung MRI in Patient with COVID-19 Infection.,"Adrienne E Campbell-Washburn, Anthony F Suffredini, Marcus Y Chen","<Abstract>
                <AbstractText>
                    <i>Online supplemental material is available for this article.</i>
                </AbstractText>
            </Abstract>",0,2021-05-05 00:00:00
118972,32600800,10.1016/j.bjan.2020.05.002,Revista brasileira de anestesiologia,Brazil,[Recommendations for local-regional anesthesia during the COVID-19 pandemic].,"Rodrigo Moreira E Lima, Leonardo de Andrade Reis, Felipe Souza Thyrso de Lara, Lino Correa Dias, Márcio Matsumoto, Glenio Bitencourt Mizubuti, Adilson Hamaji, Lucas Wynne Cabral, Lígia Andrade da Silva Telles Mathias, Lais Helena Navarro E Lima","<Abstract>
                <AbstractText>Since the beginning of the COVID-19 pandemic, many questions have come up regarding safe anesthesia management of patients with the disease. Regional anesthesia, whether peripheral nerve or neuraxial, is a safe alternative for managing patients with COVID-19, by choosing modalities that mitigate pulmonary function involvement. Adopting regional anesthesia mitigates adverse effects in the postoperative period and provides safety to pati ents and teams, as long as there is compliance with individual protection and interpersonal transmission care measures. Respecting contra-indications and judicial use of safety techniques and norms are essential. The present manuscript aims to review the evidence available on regional anesthesia for patients with COVID-19 and offer practical recommendations for safe and efficient performance.</AbstractText>
                <CopyrightInformation>Copyright © 2020. Publicado por Elsevier Editora Ltda.</CopyrightInformation>
            </Abstract>",0,2021-01-10 00:00:00
112556,32430215,10.1016/j.eururo.2020.04.071,European urology,Switzerland,"Reply to Guglielmo Mantica, Nazareno Suardi, and Carlo Terrone's Letter to the Editor re: Ming-Chun Chan, Sharon E.K. Yeo, Yew-Lam Chong, Yee-Mun Lee. Stepping Forward: Urologists' Efforts During the COVID-19 Outbreak in Singapore. Eur Urol 2020;78:e38?9.","Ming-Chun Chan, Sharon E K Yeo, Yew-Lam Chong, Yee-Mun Lee","<?xml version=""1.0""?>
<p/>
",4,2021-01-10 00:00:00
63686,32462445,10.1007/s00330-020-06956-w,European radiology,Germany,Any unique image biomarkers associated with COVID-19?,"Jiantao Pu, Joseph Leader, Andriy Bandos, Junli Shi, Pang Du, Juezhao Yu, Bohan Yang, Shi Ke, Youmin Guo, Jessica B Field, Carl Fuhrman, David Wilson, Frank Sciurba, Chenwang Jin","<Abstract>
                <AbstractText Label=""OBJECTIVE"" NlmCategory=""OBJECTIVE"">To define the uniqueness of chest CT infiltrative features associated with COVID-19 image characteristics as potential diagnostic biomarkers.</AbstractText>
                <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">We retrospectively collected chest CT exams including n = 498 on 151 unique patients RT-PCR positive for COVID-19 and n = 497 unique patients with community-acquired pneumonia (CAP). Both COVID-19 and CAP image sets were partitioned into three groups for training, validation, and testing respectively. In an attempt to discriminate COVID-19 from CAP, we developed several classifiers based on three-dimensional (3D) convolutional neural networks (CNNs). We also asked two experienced radiologists to visually interpret the testing set and discriminate COVID-19 from CAP. The classification performance of the computer algorithms and the radiologists was assessed using the receiver operating characteristic (ROC) analysis, and the nonparametric approaches with multiplicity adjustments when necessary.</AbstractText>
                <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">One of the considered models showed non-trivial, but moderate diagnostic ability overall (AUC of 0.70 with 99% CI 0.56-0.85). This model allowed for the identification of 8-50% of CAP patients with only 2% of COVID-19 patients.</AbstractText>
                <AbstractText Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"">Professional or automated interpretation of CT exams has a moderately low ability to distinguish between COVID-19 and CAP cases. However, the automated image analysis is promising for targeted decision-making due to being able to accurately identify a sizable subsect of non-COVID-19 cases.</AbstractText>
                <AbstractText Label=""KEY POINTS"" NlmCategory=""CONCLUSIONS"">• Both human experts and artificial intelligent models were used to classify the CT scans. • ROC analysis and the nonparametric approaches were used to analyze the performance of the radiologists and computer algorithms. • Unique image features or patterns may not exist for reliably distinguishing all COVID-19 from CAP; however, there may be imaging markers that can identify a sizable subset of non-COVID-19 cases.</AbstractText>
            </Abstract>",14,2021-01-31 00:00:00
25522,33672294,10.3390/ijerph18042196,International journal of environmental research and public health,Switzerland,Effect of COVID-19 Pandemic on Orthopedic Surgery in Three Centers from Romania.,"Dinu Vermeşan, Adrian Todor, Diana Andrei, Marius Niculescu, Emanuela Tudorache, Horia Haragus","<Abstract>
                <AbstractText>The COVID-19 pandemic has put an enormous burden on healthcare systems. As a direct consequence, many elective procedures were cancelled and available resources were relocated to emergencies and COVID-19 patients. We aimed to analyze the impact on orthopedic surgery in Romania. We performed a retrospective analysis of orthopedics and trauma cases admitted over the first six months of 2019 and 2020 in three representative clinics. In total, there were 1900 patients: 1241 from Timisoara, 216 from Cluj-Napoca, and 443 from Bucharest. In April, activity for all cases in the regional trauma center dropped to 23.8% and stopped in the other two. No arthroscopies or elective joint replacements were performed in April. By June, hospital admissions resumed for trauma cases while arthroscopies and joint replacements still lagged behind.</AbstractText>
            </Abstract>",1,2021-03-12 00:00:00
83919,32872116,10.3390/pharmacy8030156,"Pharmacy (Basel, Switzerland)",Switzerland,"Long-Lasting, Patient-Controlled, Procedure-Free Contraception: A Review of Annovera with a Pharmacist Perspective.","Jennifer J Virro, Kathleen Besinque, Christiane E Carney, Danielle Gross, Brian Bernick, Sebastian Mirkin","<Abstract>
                <AbstractText>Annovera (segesterone acetate and ethinyl estradiol vaginal system) is a US Food and Drug Administration FDA-approved long-lasting, reversible contraceptive that is fully administered by the user and does not require a procedure for insertion or removal. The vaginal system is in the shape of a ring and contains low doses of a novel progestin, egesterone acetate, and ethinyl estradiol. It is made of silicone and is fully pliable and flexible. The vaginal system is reusable for 13 cycles, using a 21 days in/7 days out regimen, providing women with the ability to control their fertility. Particularly now during the COVID-19 pandemic when access to contraception has been further reduced, patients may benefit from a method that is both long-lasting and patient-controlled.</AbstractText>
            </Abstract>",0,2020-10-23 00:00:00
99411,32438340,10.1530/EJE-20-0445,European journal of endocrinology,England,ENDOCRINOLOGY IN THE TIME OF COVID-19: Management of hyperthyroidism and hypothyroidism.,"Kristien Boelaert, W Edward Visser, Peter Nicholas Taylor, Carla Moran, Juliane Léger, Luca Persani","<Abstract>
                <AbstractText>This manuscript provides guidance on the management of thyroid dysfunction during the COVID-19 pandemic. Autoimmune thyroid diseases are not linked to increased risks of COVID-19. Uncontrolled thyrotoxicosis may result in more severe complications from SARS-CoV-2 infection, including thyroid storm. The management of patients with a new diagnosis of hyperthyroidism is best undertaken with a block-and-replace regimen due to limited biochemical testing availability. Antithyroid drug (ATD)-induced neutropenia may favour the progression of COVID-19 and symptoms of infection may be confused with SARS-CoV-2 infection. The withdrawal of ATDs and urgent measurement of neutrophils should be considered in case of flu-like manifestations occurring in the initial months of treatment. Urgent surgery or 131-I may be undertaken in selected cases of uncontrolled thyrotoxicosis. Patients with COVID-19 infection may present with conjunctivitis, which could cause diagnostic difficulties in patients with new or existing Graves' ophthalmopathy. Patients who are on replacement treatment with thyroid hormones should ensure they have sufficient supply of medication. The usual advice to increase dosage of levothyroxine during pregnancy should be adhered to. Many newly presenting and previously diagnosed patients with thyroid dysfunction can be managed through virtual telephone or video clinics supported by a dedicated nurse-led service, depending on available facilities.</AbstractText>
            </Abstract>",17,2021-03-12 00:00:00
160022,34490283,10.3389/fmed.2021.637885,Frontiers in medicine,Switzerland,Acid pH Increases SARS-CoV-2 Infection and the Risk of Death by COVID-19.,"Leandro Jimenez, Ana Campos Codo, Vanderson de Souza Sampaio, Antonio E R Oliveira, Lucas Kaoru Kobo Ferreira, Gustavo Gastão Davanzo, Lauar de Brito Monteiro, João Victor Virgilio-da-Silva, Mayla Gabriela Silva Borba, Gabriela Fabiano de Souza, Nathalia Zini, Flora de Andrade Gandolfi, Stéfanie Primon Muraro, José Luiz Proença-Modena, Fernando Almeida Val, Gisely Cardoso Melo, Wuelton Marcelo Monteiro, Maurício Lacerda Nogueira, Marcus Vinícius Guimarães Lacerda, Pedro M Moraes-Vieira, Helder I Nakaya","<Abstract><AbstractText>The severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) can infect a broad range of human tissues by using the host receptor angiotensin-converting enzyme 2 (ACE2). Individuals with comorbidities associated with severe COVID-19 display higher levels of <i>ACE2</i> in the lungs compared to those without comorbidities, and conditions such as cell stress, elevated glucose levels and hypoxia may also increase the expression of <i>ACE2</i>. Here, we showed that patients with Barrett's esophagus (BE) have a higher expression of <i>ACE2</i> in BE tissues compared to normal squamous esophagus, and that the lower pH associated with BE may drive this increase in expression. Human primary monocytes cultured in reduced pH displayed increased <i>ACE2</i> expression and higher viral load upon SARS-CoV-2 infection. We also showed in two independent cohorts of 1,357 COVID-19 patients that previous use of proton pump inhibitors is associated with 2- to 3-fold higher risk of death compared to those not using the drugs. Our work suggests that pH has a great influence on SARS-CoV-2 Infection and COVID-19 severity.</AbstractText><CopyrightInformation>Copyright © 2021 Jimenez, Campos Codo, Sampaio, Oliveira, Ferreira, Davanzo, Brito Monteiro, Victor Virgilio-da-Silva, Borba, Fabiano de Souza, Zini, Andrade Gandolfi, Muraro, Luiz Proença-Modena, Val, Cardoso Melo, Monteiro, Nogueira, Lacerda, Moraes-Vieira and Nakaya.</CopyrightInformation></Abstract>",0,2021-09-08 00:00:00
155330,34511662,10.1016/j.apgeog.2021.102558,"Applied geography (Sevenoaks, England)",England,"Mapping the geodemographics of racial, economic, health, and COVID-19 deaths inequalities in the conterminous US.","George Grekousis, Ruoyu Wang, Ye Liu","<Abstract><AbstractText>A large number of studies have examined individual-level factors that increase COVID-19 fatalities. However, no research has focused on the geodemographic classification of the most susceptible communities to COVID-19. In this cross-sectional ecological study, we used local fuzzy geographically-weighted clustering to create the socioeconomic profile of the US counties in relation to COVID-19 death rates. We demonstrate that living in a county which has households with lower income, people with a lack of health insurance, a high African-American percentage, and lower education level, lead to 27.12% higher COVID-19 death rates than the national median, and 72.56% higher compared to the least vulnerable counties. Compared to counties with a high COVID-19 death rate, counties with a low COVID-19 death rate have 44.90% higher annual median household income and nearly double house worth (89.51% more). Results show that the effects of the COVID-19 pandemic are not universal and that the minoritised and impoverished populations suffer more. Our analysis can effectively pinpoint the most vulnerable counties and importantly allows for understanding the socioeconomic context in which tailored interventions can be applied to mitigate COVID-19 deaths.</AbstractText><CopyrightInformation>© 2021 Elsevier Ltd. All rights reserved.</CopyrightInformation></Abstract>",0,2021-09-30 00:00:00
88637,32716830,10.1161/STROKEAHA.120.030161,Stroke,United States,"Letter by Baracchini and Pieroni Regarding Article, ""Protected Code Stroke: Hyperacute Stroke Management During the Coronavirus Disease 2019 (COVID-19) Pandemic"".","Claudio Baracchini, Alessio Pieroni","<?xml version=""1.0""?>
<p/>
",0,2020-12-18 00:00:00
